date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:34	59375/59375	---MCZ	200	added ('OK')	text/html	etag:%225c4aad20546dc499964f0b8f94d3b9bc-ssl-df%22	https://zizone.netlify.app/index-demo-3.html	C:/Users/umang/Desktop/Amu/zizone.netlify.app/index-demo-3.html	(from )
11:56:34	1447/1447	---MCZ	404	error ('Not%20Found')	text/html	etag:1607893926-ssl-df	https://zizone.netlify.app/robots.txt		(from )
11:56:35	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22e091395badb12c8c23afdfcf0f65e2a6-ssl%22	https://zizone.netlify.app/img/core-img/favicon.ico	C:/Users/umang/Desktop/Amu/zizone.netlify.app/img/core-img/favicon.ico	(from https://zizone.netlify.app/index-demo-3.html)
11:56:36	89844/89844	---MCZ	200	added ('OK')	text/css	etag:%22d801d289eb7ae4b27991dda21e41328e-ssl-df%22	https://zizone.netlify.app/css/style.css	C:/Users/umang/Desktop/Amu/zizone.netlify.app/css/style.css	(from https://zizone.netlify.app/index-demo-3.html)
11:56:36	4334/4334	---M-Z	200	added ('OK')	text/css	etag:%22522dc7505bf9ddf9fda6b1cdfe9e9caf-ssl-df%22	https://zizone.netlify.app/css/responsive.css	C:/Users/umang/Desktop/Amu/zizone.netlify.app/css/responsive.css	(from https://zizone.netlify.app/index-demo-3.html)
11:56:36	3156/3156	---MCZ	404	error ('Not%20Found')	text/html	etag:1607893926-ssl-df	https://zizone.netlify.app/index-2.html	C:/Users/umang/Desktop/Amu/zizone.netlify.app/index-2.html	(from https://zizone.netlify.app/index-demo-3.html)
11:56:37	4889/4889	---M--	200	added ('OK')	image/png	etag:%229eb820e7eb8bb379999ca249ff66d5a2-ssl%22	https://zizone.netlify.app/img/core-img/logo.png	C:/Users/umang/Desktop/Amu/zizone.netlify.app/img/core-img/logo.png	(from https://zizone.netlify.app/index-demo-3.html)
11:56:38	63091/63091	---MCZ	200	added ('OK')	text/html	etag:%2259779fdd53ac15dfa2d8bd40b6b99614-ssl-df%22	https://zizone.netlify.app/index-demo-1.html	C:/Users/umang/Desktop/Amu/zizone.netlify.app/index-demo-1.html	(from https://zizone.netlify.app/index-demo-3.html)
11:56:38	63915/63915	---MCZ	200	added ('OK')	text/html	etag:%220b3ff26d4c0fe198ee345fad1ad7b4f7-ssl-df%22	https://zizone.netlify.app/index-demo-2.html	C:/Users/umang/Desktop/Amu/zizone.netlify.app/index-demo-2.html	(from https://zizone.netlify.app/index-demo-3.html)
11:56:39	18782/18782	---MCZ	200	added ('OK')	text/html	etag:%22068f32c926a4273551525d5ba1e5554f-ssl-df%22	https://zizone.netlify.app/about-us.html	C:/Users/umang/Desktop/Amu/zizone.netlify.app/about-us.html	(from https://zizone.netlify.app/index-demo-3.html)
11:56:39	18091/18091	---MCZ	200	added ('OK')	text/html	etag:%227c153dd0c57655b7aef24cd8dcb25424-ssl-df%22	https://zizone.netlify.app/services.html	C:/Users/umang/Desktop/Amu/zizone.netlify.app/services.html	(from https://zizone.netlify.app/index-demo-3.html)
11:56:40	16842/16842	---MCZ	200	added ('OK')	text/html	etag:%22e1ea6b6c680dddcd288796594ea1e86e-ssl-df%22	https://zizone.netlify.app/faq.html	C:/Users/umang/Desktop/Amu/zizone.netlify.app/faq.html	(from https://zizone.netlify.app/index-demo-3.html)
11:56:41	20088/20088	---MCZ	200	added ('OK')	text/html	etag:%2265dbd642cb5deb06d62f44f81ea76825-ssl-df%22	https://zizone.netlify.app/index-blog.html	C:/Users/umang/Desktop/Amu/zizone.netlify.app/index-blog.html	(from https://zizone.netlify.app/index-demo-3.html)
11:56:41	25572/25572	---MCZ	200	added ('OK')	text/html	etag:%2217add22b9818db0a76378f7b4b00603b-ssl-df%22	https://zizone.netlify.app/index-blog-with-sidebar.html	C:/Users/umang/Desktop/Amu/zizone.netlify.app/index-blog-with-sidebar.html	(from https://zizone.netlify.app/index-demo-3.html)
11:56:42	24857/24857	---MCZ	200	added ('OK')	text/html	etag:%22c5bb997a1fd78bb5433cd7e840988209-ssl-df%22	https://zizone.netlify.app/index-single-blog.html	C:/Users/umang/Desktop/Amu/zizone.netlify.app/index-single-blog.html	(from https://zizone.netlify.app/index-demo-3.html)
11:56:42	13573/13573	---MCZ	200	added ('OK')	text/html	etag:%222c56c17fda87d15c4bbf57b3d870cce9-ssl-df%22	https://zizone.netlify.app/contact-us.html	C:/Users/umang/Desktop/Amu/zizone.netlify.app/contact-us.html	(from https://zizone.netlify.app/index-demo-3.html)
11:56:43	1545/1545	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ff02496324f609a4d6920ff23f7cc165-ssl-df%22	https://zizone.netlify.app/img/svg/img-dollar.svg	C:/Users/umang/Desktop/Amu/zizone.netlify.app/img/svg/img-dollar.svg	(from https://zizone.netlify.app/index-demo-3.html)
